payment_id,timestamp,event_type,failure_code,diagnosis,action_taken,retry_count,compliance_check_result,llm_reasoning,resulting_state
pay_3gyrDO1xkxwnQr,2026-08-07 18:56:00,INGESTION,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_3gyrDO1xkxwnQr,2026-08-08 10:00:00,OUTBOUND_NUDGE_1,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Sent nudge #1 (Professional English),0,PASS,AI Decision: Hard failure. Card is expired. Informing customer directly in professional English to securely link their new card. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_3gyrDO1xkxwnQr,2026-08-08 11:54:00,MOCK_PAYMENT_ATTEMPT,CARD_EXPIRED,Cause: The billing credit/debit card has expired. | Plan: Do not attempt automated retries. Immediately request updated payment details from the customer.,Processed payment authorization via link,1,PASS,Customer clicked payment link and authorized transaction. Success.,RECOVERED
pay_TunPFz46PDjqip,2026-08-09 17:55:00,INGESTION,CHECKOUT_ABANDONED,Cause: Customer exited checkout funnel before completing payment (drop-off). | Plan: Halt automated bank retries. Immediately trigger cart-rescue outreach with secure cart restoration link.,Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_TunPFz46PDjqip,2026-08-10 11:00:00,OUTBOUND_NUDGE_1,CHECKOUT_ABANDONED,Cause: Customer exited checkout funnel before completing payment (drop-off). | Plan: Halt automated bank retries. Immediately trigger cart-rescue outreach with secure cart restoration link.,Sent nudge #1 (Professional English),0,PASS,AI Decision: Customer dropped off at checkout. Friendly cart recovery reminder in professional English. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_TunPFz46PDjqip,2026-08-10 12:54:00,MOCK_PAYMENT_ATTEMPT,CHECKOUT_ABANDONED,Cause: Customer exited checkout funnel before completing payment (drop-off). | Plan: Halt automated bank retries. Immediately trigger cart-rescue outreach with secure cart restoration link.,Processed payment authorization via link,1,PASS,Customer clicked payment link and authorized transaction. Success.,RECOVERED
pay_8aRUhR4IWrXPvh,2026-08-04 14:56:00,INGESTION,INSUFFICIENT_FUNDS,Cause: Customer's bank account has insufficient balance. | Plan: Wait for salary/funding (or schedule retry in 48h) + offer instant UPI payment link.,Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
pay_8aRUhR4IWrXPvh,2026-08-05 10:00:00,OUTBOUND_NUDGE_1,INSUFFICIENT_FUNDS,Cause: Customer's bank account has insufficient balance. | Plan: Wait for salary/funding (or schedule retry in 48h) + offer instant UPI payment link.,Sent nudge #1 (Professional English),0,PASS,AI Decision: Balance issue detected. Professional English outreach notifying customer of auto-debit failure with multi-method payment link. [Mock LLM Mode],ENGAGEMENT_STARTED
pay_8aRUhR4IWrXPvh,2026-08-05 11:35:00,MOCK_PAYMENT_ATTEMPT,INSUFFICIENT_FUNDS,Cause: Customer's bank account has insufficient balance. | Plan: Wait for salary/funding (or schedule retry in 48h) + offer instant UPI payment link.,Processed payment authorization via link,1,PASS,Customer clicked payment link and authorized transaction. Success.,RECOVERED
pay_1Ztpdp4K8ffUF0,2026-08-08 12:04:00,INGESTION,NETWORK_TIMEOUT,"Cause: Transient gateway network timeout or bank API error. | Plan: Attempt 1 immediate retry. If fails again, wait 24h before next retry.",Ingested and diagnosed failed record,0,PASS,Diagnostic Engine parsed failure code,PENDING
